臺灣頻道,#genre#
Animax,http://173.82.57.77:8890/fhtv.php?id=60
Travel Channel,http://173.82.57.77:8890/fhtv.php?id=63
cnex,http://173.82.57.77:8890/fhtv.php?id=91
M2O音樂,http://173.82.57.77:8890/fhtv.php?id=94
BBC earth,http://173.82.57.77:8890/fhtv.php?id=97
BLVE ANT EXTREME,http://173.82.57.77:8890/fhtv.php?id=103
音樂-MTV Live,http://173.82.57.77:8890/fhtv.php?id=106
LUXE.TV,http://173.82.57.77:8890/fhtv.php?id=112
Fashion One,http://173.82.57.77:8890/fhtv.php?id=113
History,http://173.82.57.77:8890/fhtv.php?id=116
英國-BBC 1,http://173.82.57.77:8890/fhtv.php?id=158
英國-BBC Parliament,http://173.82.57.77:8890/fhtv.php?id=159
英國-BBC Entertainment,http://173.82.57.77:8890/fhtv.php?id=160
英國-BBC Alba,http://173.82.57.77:8890/fhtv.php?id=161
英國-BBC Parliament,http://173.82.57.77:8890/fhtv.php?id=162
英國-BBC News,http://173.82.57.77:8890/fhtv.php?id=164
英國-BBC 2,http://173.82.57.77:8890/fhtv.php?id=157
BT Sport 1,http://173.82.57.77:8890/fhtv.php?id=165
BT Sport 2,http://173.82.57.77:8890/fhtv.php?id=166
BT Sport 3,http://173.82.57.77:8890/fhtv.php?id=167
BT Sport ESPN,http://173.82.57.77:8890/fhtv.php?id=168
英國-Channel 4,http://173.82.57.77:8890/fhtv.php?id=169
ESPN-U,http://173.82.57.77:8890/fhtv.php?id=170
Sky Sport 2,http://173.82.57.77:8890/fhtv.php?id=171
Sky Sports 1,http://173.82.57.77:8890/fhtv.php?id=172
車迷TV,http://173.82.57.77:8890/fhtv.php?id=352
VIUTV6,http://173.82.57.77:8890/fhtv.php?id=176
體育MainEvent,http://173.82.57.77:8890/fhtv.php?id=177
Sky Sports Action,http://173.82.57.77:8890/fhtv.php?id=178
Sky Sports Cricket,http://173.82.57.77:8890/fhtv.php?id=179
Sky Sports Golf,http://173.82.57.77:8890/fhtv.php?id=180
Sky Sports PremierLeague,http://173.82.57.77:8890/fhtv.php?id=181
Sky Sports,http://173.82.57.77:8890/fhtv.php?id=182
Sky Sport 3,http://173.82.57.77:8890/fhtv.php?id=183
Medici Arts,http://173.82.57.77:8890/fhtv.php?id=188
Bloomberg Europe,http://173.82.57.77:8890/fhtv.php?id=370
VTV4,http://173.82.57.77:8890/fhtv.php?id=341
FOX Sport 3,http://173.82.57.77:8890/fhtv.php?id=376
FOX Family,http://173.82.57.77:8890/fhtv.php?id=383
CW LIVE,http://173.82.57.77:8890/fhtv.php?id=420
BBC world news,http://173.82.57.77:8890/fhtv.php?id=421
BBC lifestyle,http://173.82.57.77:8890/fhtv.php?id=424
Ginx csrortstv,http://173.82.57.77:8890/fhtv.php?id=425
探索EVE,http://173.82.57.77:8890/fhtv.php?id=1036
體育-WWE,http://173.82.57.77:8890/fhtv.php?id=1081
FOX WILD CARA,http://173.82.57.77:8890/fhtv.php?id=1083
印尼-Karaoke,http://173.82.57.77:8890/fhtv.php?id=1141
印尼-Jakarta Globe,http://173.82.57.77:8890/fhtv.php?id=1142
印尼-InsanTV,http://173.82.57.77:8890/fhtv.php?id=1143
印尼-CNN Indonesia,http://173.82.57.77:8890/fhtv.php?id=1145
印尼-MetroTV,http://173.82.57.77:8890/fhtv.php?id=1124
DW德國之聲,http://173.82.57.77:8890/fhtv.php?id=1059
VOA美國之音,http://173.82.57.77:8890/fhtv.php?id=495
美國5 Star Max,http://173.82.57.77:8890/fhtv.php?id=1174
美國Action Max,http://173.82.57.77:8890/fhtv.php?id=1175
美國MoreMax,http://173.82.57.77:8890/fhtv.php?id=1176
美國Hallmark Channel,http://173.82.57.77:8890/fhtv.php?id=1177
美國Hallmark Drama,http://173.82.57.77:8890/fhtv.php?id=1178
美國Hallmark Movie,http://173.82.57.77:8890/fhtv.php?id=1179
美國TCM,http://173.82.57.77:8890/fhtv.php?id=1180
美國Starz in Black,http://173.82.57.77:8890/fhtv.php?id=1181
美國ESPN 1,http://173.82.57.77:8890/fhtv.php?id=1182
美國ESPN 2,http://173.82.57.77:8890/fhtv.php?id=1183
美國NBC Sport,http://173.82.57.77:8890/fhtv.php?id=1184
美國NBA TV US,http://173.82.57.77:8890/fhtv.php?id=1185
美國Fox Sport 1,http://173.82.57.77:8890/fhtv.php?id=1186
美國Fox Sport 2,http://173.82.57.77:8890/fhtv.php?id=1187
美國Tennis,http://173.82.57.77:8890/fhtv.php?id=1188
美國NFL Network,http://173.82.57.77:8890/fhtv.php?id=1189
美國Golf,http://173.82.57.77:8890/fhtv.php?id=1190
美國WWE,http://173.82.57.77:8890/fhtv.php?id=1191
美國UFC PASS,http://173.82.57.77:8890/fhtv.php?id=1192
美國Willow,http://173.82.57.77:8890/fhtv.php?id=1193
美國NHL Network,http://173.82.57.77:8890/fhtv.php?id=1194
美國Bein Sports USA,http://173.82.57.77:8890/fhtv.php?id=1195
美國ESPN U,http://173.82.57.77:8890/fhtv.php?id=1196
美國Big Ten Network,http://173.82.57.77:8890/fhtv.php?id=1197
美國Discovery Channel,http://173.82.57.77:8890/fhtv.php?id=1198
美國Motor Trend,http://173.82.57.77:8890/fhtv.php?id=1199
美國National Geographic,http://173.82.57.77:8890/fhtv.php?id=1200
美國Nat Geo Wild,http://173.82.57.77:8890/fhtv.php?id=1201
